,Geo Point,NOM_COM,Unnamed: 0,Nombre d’habitants de la commune,Policiers pour 100 habs,Libellé de la commune,president_gagnant,partie,Revenu fiscal de référence des foyers fiscaux 2021,Evolution,Age moyen,longitude,latitude
1685,"46.7949234374, 4.49366455513",le breuil,1045,3570.0,2.8011204481792715,le breuil,MACRON,Centre,6956.717,-87.9065225737945,"26,46956522", 4.49366455513,46.7949234374
1701,"47.6042426188, 7.49482144119",blotzheim,961,4709.0,4.247186239116585,blotzheim,MACRON,Centre,137148.576,-85.2320041587599,"22,77063383", 7.49482144119,47.6042426188
1702,"46.7135166224, 4.71229821239",buxy,1036,2200.0,4.545454545454546,buxy,MACRON,Centre,36850.063,-84.33587752617953,"26,92003949", 4.71229821239,46.7135166224
1703,"49.2206305889, 1.15342309131",louviers,307,18348.0,3.81512971441029,louviers,MACRON,Centre,228442.184,-96.80926093755085,"23,08008755", 1.15342309131,49.2206305889
1704,"49.4659379858, 2.69665049193",montmartin,819,302.0,0.0,montmartin,LE PEN,Extrême droite,4475.079,43.59502927210895,"18,67727273", 2.69665049193,49.4659379858
1705,"48.8152248222, 2.31722185184",montrouge,1326,50000.0,4.0,montrouge,MACRON,Centre,1133650.555,-99.14564051882812,"22,06535948", 2.31722185184,48.8152248222
1706,"50.3488402212, 3.47545964723",la sentinelle,797,3117.0,3.208213025344884,la sentinelle,LE PEN,Extrême droite,33821.549,-5.814532622382253,"22,62665736", 3.47545964723,50.3488402212
1707,"45.5346761622, 4.57353716996",genilac,552,3980.0,2.512562814070352,genilac,LE PEN,Extrême droite,61660.162,-84.0051587928037,"21,88695652", 4.57353716996,45.5346761622
1709,"43.7076538278, 5.15094513029",alleins,152,2700.0,7.4074074074074066,alleins,LE PEN,Extrême droite,50677.103,-86.91286674378368,"23,17008547", 5.15094513029,43.7076538278
1711,"45.8320510656, 3.10764104665",cebazat,873,8915.0,3.365114974761638,cebazat,MACRON,Centre,136926.216,-62.549436844146776,"25,9107829", 3.10764104665,45.8320510656
1712,"50.4219175059, 3.65180325156",crespin,792,4500.0,8.88888888888889,crespin,MACRON,Centre,1198.302,54.83192050084204,"25,66", 3.65180325156,50.4219175059
1724,"49.2060614702, -0.475616470008",rots,174,2532.0,0.0,rots,MACRON,Centre,48992.849,-94.26323217088274,"22,7209721", -0.475616470008,49.2060614702
1727,"43.7796433719, 2.19003842067",realmont,1206,3501.0,5.712653527563553,realmont,LE PEN,Extrême droite,47816.511,-70.0377930125433,"25,81208459", 2.19003842067,43.7796433719
1728,"43.2802207181, 2.09493533939",villepinte,1337,36830.0,6.787944610371979,villepinte,LE PEN,Extrême droite,15056.171,-31.06216713399444,"23,11467116", 2.09493533939,43.2802207181
1732,"43.2509488598, 2.31385909502",pennautier,140,2574.0,7.770007770007769,pennautier,LE PEN,Extrême droite,37672.697,-96.943229203898,"24,96493399", 2.31385909502,43.2509488598
1733,"48.1999213316, 6.42513325569",golbey,1277,8921.0,3.362851698240108,golbey,LE PEN,Extrême droite,115706.546,-81.05220857599535,"24,7020951", 6.42513325569,48.1999213316
1734,"44.7218752388, 4.59409820072",privas,92,8747.0,3.42974734194581,privas,MÉLENCHON,Extrême gauche,113341.255,-70.42047928620518,"25,99090239", 4.59409820072,44.7218752388
1735,"50.296463295, 3.87150570177",la longueville,776,2097.0,0.0,la longueville,LE PEN,Extrême droite,31819.447,-43.74932411616079,"23,35194672", 3.87150570177,50.296463295
1736,"50.7114741415, 1.57538868354",le portel,841,9343.0,6.421920154126084,le portel,LE PEN,Extrême droite,97123.5,-80.0344221532379,"24,04943899", 1.57538868354,50.7114741415
1737,"43.7025312506, -1.39815993423",seignosse,539,3874.0,10.325245224574084,seignosse,MACRON,Centre,100497.06,-93.29287344326292,"25,92781494", -1.39815993423,43.7025312506
1738,"48.8791412602, 4.53947918777",francheville,986,15164.0,2.637826431020839,francheville,MACRON,Centre,4227.119,-84.03151176960006,"20,60546875", 4.53947918777,48.8791412602
1780,"47.7936540508, 3.58168980396",auxerre,1283,35554.0,2.8126230522585365,auxerre,MACRON,Centre,500176.131,-99.08736488667029,"24,70294525", 3.58168980396,47.7936540508
1782,"48.4843698646, -1.19099601744",melle,1177,6529.0,0.0,melle,MACRON,Centre,7516.678,24.48560387979904,"23,75", -1.19099601744,48.4843698646
1786,"45.6680469522, 4.9083713349",corbas,1009,11110.0,7.200720072007201,corbas,MACRON,Centre,173915.468,-96.17788510910368,"22,72480777", 4.9083713349,45.6680469522
1787,"45.8544262114, 1.24894834225",limoges,1268,133742.0,5.0096454367364025,limoges,MACRON,Centre,1733040.086,-98.07225751614844,"23,44117692", 1.24894834225,45.8544262114
1792,"43.7587318211, 7.22347092028",colomars,73,3453.0,5.7920648711265565,colomars,LE PEN,Extrême droite,67768.94,-62.48832134603256,"26,05988593", 7.22347092028,43.7587318211
1793,"45.874985955, 4.77068113492",chasselay,1020,2793.0,3.580379520229145,chasselay,LE PEN,Extrême droite,74022.89,-91.33262427338352,"24,14655172", 4.77068113492,45.874985955
1797,"48.6966087342, 2.56089565958",perigny,219,9157.0,3.276182155727859,perigny,LE PEN,Extrême droite,5837.895,-35.629983067526915,"23,24736842", 2.56089565958,48.6966087342
1822,"48.4064551427, 2.68102008933",fontainebleau,1123,15407.0,6.490556240669824,fontainebleau,MACRON,Centre,350989.234,-88.40036928312165,"24,97909946", 2.68102008933,48.4064551427
1823,"48.269819501, 5.8034982914",ollainville,1312,5000.0,2.0,ollainville,LE PEN,Extrême droite,1062.696,8905.630584852111,"24,5", 5.8034982914,48.269819501
1827,"48.588553573, 1.55172203585",pierres,321,2800.0,3.571428571428571,pierres,MACRON,Centre,47482.623,-94.22403223174928,"24,8233463", 1.55172203585,48.588553573
1829,"48.5649647046, 2.59506698598",cesson,1111,10978.0,6.376389141920204,cesson,MACRON,Centre,193052.504,-92.3927176826466,"21,79550539", 2.59506698598,48.5649647046
1830,"49.0231480836, 0.383528736087",orbec,173,2038.0,4.906771344455349,orbec,LE PEN,Extrême droite,25067.781,-95.4167941709719,"28,62061404", 0.383528736087,49.0231480836
1831,"47.7611655705, -0.0627742619624",bousse,723,3237.0,0.0,bousse,MACRON,Centre,5262.796,-66.81513020835312,"23,29071379", -0.0627742619624,47.7611655705
1835,"46.4891329652, 4.02530262748",digoin,1039,7741.0,1.2918227619170652,digoin,LE PEN,Extrême droite,90763.001,-98.26967378480578,"28,12648971", 4.02530262748,46.4891329652
1837,"42.6571503317, 2.94868130728",saleilles,939,5669.0,7.055918151349444,saleilles,LE PEN,Extrême droite,96861.265,-54.61248725174093,"26,0325642", 2.94868130728,42.6571503317
1838,"46.0450564645, 4.08007309055",roanne,554,34000.0,7.941176470588235,roanne,MACRON,Centre,442007.048,-98.80461340516904,"26,38213826", 4.08007309055,46.0450564645
1840,"45.7063342207, -1.16925872072",les mathes,215,2142.0,14.00560224089636,les mathes,MACRON,Centre,47632.348,-96.495541223372,"28,97939698", -1.16925872072,45.7063342207
1841,"44.3209138106, -1.19464286819",gastes,531,842.0,11.876484560570072,gastes,LE PEN,Extrême droite,14041.119,-81.82298718499574,"24,33375315", -1.19464286819,44.3209138106
1842,"43.4634660742, 3.41562547841",pezenas,475,8273.0,10.878762238607518,pezenas,MÉLENCHON,Extrême gauche,116299.768,-90.22288075415592,"27,97609769", 3.41562547841,43.4634660742
1843,"43.3230905812, 1.96032935823",castelnaudary,133,12694.0,3.151095005514416,castelnaudary,LE PEN,Extrême droite,136384.232,-95.72920057210132,"26,06969297", 1.96032935823,43.3230905812
